სათაური,ავტორი,ფასი,ლინკი
9,კრებული,₾7.90 GEL,http://lit.ge/book/286011-9-krebuli/
"მშვიდობით, ძია გერშვინ!",მაია ცირამუა,₾4.90 GEL,"http://lit.ge/book/285955-mshvidobit,-dzia-gershvin-maia-ciramua/"
არაფერი დედაჩემის შესახებ,ეკა ქევანიშვილი,₾4.90 GEL,http://lit.ge/book/285926-araferi-dedachemis-shesaxeb-eka-qevanishvili/
ვულკანის მეტრფე,სუზან ზონტაგი,₾11.90 GEL,http://lit.ge/book/285872-vulkanis-metrfe-suzan-zontagi/
ცის ფესვები,რომენ გარი,₾8.35 GEL,http://lit.ge/book/285803-cis-fesvebi-romen-gari/
ფრანები,რომენ გარი,₾7.45 GEL,http://lit.ge/book/285729-franebi-romen-gari/
ცხოვრება წინაა,რომენ გარი,₾6.00 GEL,http://lit.ge/book/285676-cxovreba-tsinaa-romen-gari/
ქალის ნათელი,რომენ გარი,₾3.60 GEL,http://lit.ge/book/285642-qalis-nateli-romen-gari/
ქუჩის მოჩხუბრის ჩანაწერები,გიგა ნასარიძე,₾6.60 GEL,http://lit.ge/book/285600-quchis-mochxubris-chanatserebi-giga-nasaridze/
33 ზღაპარი,ჰერმან ჰესე,₾9.90 GEL,http://lit.ge/book/285539-33-zghapari-herman-hese/
ჟაკლინი,ლელა ლაშხი,₾7.90 GEL,http://lit.ge/book/285497-zhaklini-lela-lashxi/
ანტიქრისტა,ამელი ნოტომი,₾6.60 GEL,http://lit.ge/book/285410-antiqrista-ameli-notomi/
ამბოხებული ადამიანი,ალბერ კამიუ,₾12.00 GEL,http://lit.ge/book/285337-amboxebuli-adamiani-alber-kamiu/
შინ ვეღარასოდეს დაბრუნდები,თომას ვულფი,₾17.95 GEL,http://lit.ge/book/285252-shin-vegharasodes-dabrundebi-tomas-vulfi/
კახეთის მატარებელი,არჩილ ქიქოძე,₾9.20 GEL,http://lit.ge/book/285225-kaxetis-matarebeli-archil-qiqodze/
აბრეშუმის გზა,ბესო ხვედელიძე,₾7.90 GEL,http://lit.ge/book/285190-abreshumis-gza-beso-xvedelidze/
"მოხედე შენს სახლს, ანგელოზო",თომას ვულფი,₾17.95 GEL,"http://lit.ge/book/285122-moxede-shens-saxls,-angelozo-tomas-vulfi/"
მართალნი,ალბერ კამიუ,₾6.35 GEL,http://lit.ge/book/285083-martalni-alber-kamiu/
გაუგებრობა,ალბერ კამიუ,₾6.35 GEL,http://lit.ge/book/285038-gaugebroba-alber-kamiu/
კალიგულა,ალბერ კამიუ,₾6.35 GEL,http://lit.ge/book/284962-kaligula-alber-kamiu/
რეკვიემი მონაზონისთვის,ალბერ კამიუ,₾6.08 GEL,http://lit.ge/book/284930-rekviemi-monazonistvis-alber-kamiu/
სიზიფის მითი,ალბერ კამიუ,₾9.00 GEL,http://lit.ge/book/284889-sizifis-miti-alber-kamiu/
სარჩული და პირი,ალბერ კამიუ,₾6.88 GEL,http://lit.ge/book/284858-sarchuli-da-piri-alber-kamiu/
ბედნიერი სიკვდილი,ალბერ კამიუ,₾8.30 GEL,http://lit.ge/book/284821-bednieri-sikvdili-alber-kamiu/
დაცემა,ალბერ კამიუ,₾8.40 GEL,http://lit.ge/book/284785-dacema-alber-kamiu/
შავი ჭირი,ალბერ კამიუ,₾9.98 GEL,http://lit.ge/book/284728-shavi-chiri-alber-kamiu/
გადასახლება და სამეფო,ალბერ კამიუ,₾7.80 GEL,http://lit.ge/book/284695-gadasaxleba-da-samefo-alber-kamiu/
ქორწინება. ზაფხული,ალბერ კამიუ,₾7.80 GEL,http://lit.ge/book/284659-qortsineba-zafxuli-alber-kamiu/
უცხო,ალბერ კამიუ,₾8.60 GEL,http://lit.ge/book/284621-ucxo-alber-kamiu/
სამი დღე ვაქცინამდე...,ლალი მოროშკინა,₾4.95 GEL,http://lit.ge/book/284465-sami-dghe-vaqcinamde-lali-moroshkina/
„ყორანი“ და სხვა ლექსები,ედგარ ალან პო,₾6.00 GEL,http://lit.ge/book/284349-„yorani“-da-sxva-leqsebi-edgar-alan-po/
შორეული ჰანგები,გიორგი ეკიზაშვილი,₾3.00 GEL,http://lit.ge/book/284085-shoreuli-hangebi-giorgi-ekizashvili/
დიდი სმა,ბესიკ ხარანაული,₾9.95 GEL,http://lit.ge/book/284040-didi-sma-besik-xaranauli/
სადგურები,გაგა ნახუცრიშვილი,₾4.95 GEL,http://lit.ge/book/283964-sadgurebi-gaga-naxucrishvili/
ათწამიანი სიზმრები,ზაზა ბიბილაშვილი,₾6.50 GEL,http://lit.ge/book/283930-attsamiani-sizmrebi-zaza-bibilashvili/
მარწუხებში. ასპერნის წერილები,ჰენრი ჯეიმზი,₾12.60 GEL,http://lit.ge/book/283388-martsuxebshi-aspernis-tserilebi-henri-jeimzi/
გაუზავებლად,კახა თოლორდავა,₾11.20 GEL,http://lit.ge/book/283333-gauzaveblad-kaxa-tolordava/
მონოლოგი სარწეველა სკამიდან,ზაზა გაბუნია,₾4.50 GEL,http://lit.ge/book/282991-monologi-sartsevela-skamidan-zaza-gabunia/
